"Brand","Brand ID","Month and Year","Affiliate","Impressions","Clicks","Signups","NDC","fdt","Net Revenue","Earnings"
"Betboo","2","Jan-24","webhisse","0","4,546","279","67","67","€ 7,073.72","€ 3,818.15"
"Betboo","2","Jan-24","bahissiteleribilgi","0","10","2","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","Metin7474","0","85","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","Casinoaff","0","7,854","7","5","5","€ 50.46","€ 217.66"
"Betboo","2","Jan-24","bonusgrup","0","0","0","1","1","€ 3.66","€ 1.10"
"Betboo","2","Jan-24","Adv_014","0","535","16","9","9","€ 4,029.50","€ 1,208.85"
"Betboo","2","Jan-24","AnastasiaPC","0","0","0","0","0","€ 4.92","€ 0.00"
"Betboo","2","Jan-24","Socialtournaments","0","3","1","1","1","€ 9.36","€ 22.81"
"Betboo","2","Jan-24","Ceylanmarketing","0","2","0","3","3","-€ 84.88","€ 0.00"
"Betboo","2","Jan-24","666bahisyonetim","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","elemin","0","2","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","JamesHarden","0","0","0","1","1","€ 1.24","€ 0.25"
"Betboo","2","Jan-24","Cafercasino","0","6","0","0","0","€ 18.45","€ 5.54"
"Betboo","2","Jan-24","TSquad","0","136,836","6,491","825","825","€ 51,305.09","€ 44,675.00"
"Betboo","2","Jan-24","lcbonus","0","9","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","Squirrel","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","RekorX","0","156","4","0","0","€ 100.49","€ 30.15"
"Betboo","2","Jan-24","Jiletadmin","0","13","0","0","0","€ 173.35","€ 52.00"
"Betboo","2","Jan-24","rosierbey","0","0","0","1","1","€ 2.28","€ 0.46"
"Betboo","2","Jan-24","Elis11","0","5","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","aphex","0","189","5","1","1","€ 19.86","€ 5.96"
"Betboo","2","Jan-24","Affstream","0","5,786","236","80","80","€ 6,459.65","€ 4,770.00"
"Betboo","2","Jan-24","ImonetizeitDimitrii","0","4","2","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","slotuzmani9","0","54","1","1","1","€ 101.35","€ 30.40"
"Betboo","2","Jan-24","Enes123","0","0","0","0","0","€ 89.00","€ 26.70"
"Betboo","2","Jan-24","mwilson","0","3","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","Big17win","0","4","0","0","0","€ 0.01","€ 0.00"
"Betboo","2","Jan-24","lschulz","0","2","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","adv_017","0","2,136","158","9","9","€ 309.69","€ 92.91"
"Betboo","2","Jan-24","ask-affiliates","0","5","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","Adv_019","0","282","22","2","2","-€ 168.30","€ 0.00"
"Betboo","2","Jan-24","goldtufan","0","0","0","5","5","-€ 33.58","€ 0.00"
"Betboo","2","Jan-24","KenesisDiRaskreia","0","392","7","2","2","€ 8.31","€ 2.02"
"Betboo","2","Jan-24","bonussms","0","1,579","226","15","15","-€ 213.47","€ 0.00"
"Betboo","2","Jan-24","bonuslarburada","0","158","43","6","6","-€ 244.70","€ 0.00"
"Betboo","2","Jan-24","21stGold","0","208","25","4","4","€ 141.99","€ 180.00"
"Betboo","2","Jan-24","DATeam","0","153","0","1","1","€ 147.05","€ 40.00"
"Betboo","2","Jan-24","CGSolutions","0","168","3","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","ntylr1","0","435","1","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","ftdmedia","0","9","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","Pepperpartners1","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","OnePLtd","0","7,180","1,029","128","128","-€ 524.79","€ 5,760.00"
"Betboo","2","Jan-24","ckecasino","0","15","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","affiliateuzmani09","0","37","1","7","7","€ 1,105.18","€ 103.95"
"Betboo","2","Jan-24","Spikeup","0","0","0","0","0","€ 0.03","€ 0.01"
"Betboo","2","Jan-24","slotbonanza","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","CTPRCK45","0","2,080","85","13","13","-€ 639.24","€ 0.00"
"Betboo","2","Jan-24","bahsinrehberi","0","7,450","284","43","43","-€ 5,904.74","€ 0.00"
"Betboo","2","Jan-24","sequivincere","0","318","35","4","4","€ 31.33","€ 9.40"
"Betboo","2","Jan-24","elsspatonn","0","13","0","1","1","-€ 41.20","€ 0.00"
"Betboo","2","Jan-24","casinobetlive","0","14","1","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","Thelimitedclub","0","211","15","4","4","€ 14.35","€ 160.00"
"Betboo","2","Jan-24","KenMaster","0","226","5","3","3","€ 379.93","€ 113.98"
"Betboo","2","Jan-24","Ali4242","0","167","7","3","3","-€ 302.58","€ 0.00"
"Betboo","2","Jan-24","emre028","0","0","0","0","0","€ 0.01","€ 0.00"
"Betboo","2","Jan-24","sezer455aa","0","39","3","2","2","€ 6.15","€ 1.84"
"Betboo","2","Jan-24","babalar01","0","282","16","4","4","€ 174.21","€ 52.26"
"Betboo","2","Jan-24","ClickIDMedia","0","4","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","AlienBettor35","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","losangeles","0","18","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","Bahispanaroma","0","7","0","0","0","€ 21.32","€ 6.40"
"Betboo","2","Jan-24","forumneyine","0","362","7","5","5","-€ 2,982.04","€ 0.00"
"Betboo","2","Jan-24","erincpl","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","Jackpotiso","0","31","1","1","1","-€ 57.22","€ 0.00"
"Betboo","2","Jan-24","slotbaskani","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","torrestips9","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","ultimate800","0","95","11","0","0","€ 0.00","€ 0.00"
"Betboo","2","Jan-24","KodKalesi","0","615","38","7","7","€ 31.98","€ 9.59"
